Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2023,133,7OT,1101,232
2023,133,7OT,1102,198
2023,133,7OT,1103,93
2023,133,7OT,1104,4
2023,133,7OT,1105,338
2023,133,7OT,1106,360
2023,133,7OT,1107,350
2023,133,7OT,1108,277
2023,133,7OT,1110,280
2023,133,7OT,1111,101
2023,133,7OT,1112,6
2023,133,7OT,1113,106
2023,133,7OT,1114,317
2023,133,7OT,1115,341
2023,133,7OT,1116,22
2023,133,7OT,1117,322
2023,133,7OT,1119,181
2023,133,7OT,1120,16
2023,133,7OT,1122,313
2023,133,7OT,1123,138
2023,133,7OT,1124,11
2023,133,7OT,1125,95
2023,133,7OT,1126,355
2023,133,7OT,1127,271
2023,133,7OT,1129,17
2023,133,7OT,1130,201
2023,133,7OT,1131,282
2023,133,7OT,1132,291
2023,133,7OT,1133,52
2023,133,7OT,1135,152
2023,133,7OT,1136,191
2023,133,7OT,1137,266
2023,133,7OT,1138,151
2023,133,7OT,1139,148
2023,133,7OT,1140,71
2023,133,7OT,1141,354
2023,133,7OT,1142,265
2023,133,7OT,1143,318
2023,133,7OT,1144,196
2023,133,7OT,1145,211
2023,133,7OT,1146,331
2023,133,7OT,1148,333
2023,133,7OT,1149,295
2023,133,7OT,1150,127
2023,133,7OT,1151,158
2023,133,7OT,1152,339
2023,133,7OT,1153,35
2023,133,7OT,1154,323
2023,133,7OT,1155,97
2023,133,7OT,1156,131
2023,133,7OT,1157,285
2023,133,7OT,1158,27
2023,133,7OT,1159,68
2023,133,7OT,1160,123
2023,133,7OT,1161,141
2023,133,7OT,1162,327
2023,133,7OT,1163,14
2023,133,7OT,1164,329
2023,133,7OT,1165,161
2023,133,7OT,1166,41
2023,133,7OT,1167,316
2023,133,7OT,1168,84
2023,133,7OT,1169,348
2023,133,7OT,1170,263
2023,133,7OT,1171,286
2023,133,7OT,1172,86
2023,133,7OT,1173,30
2023,133,7OT,1174,157
2023,133,7OT,1175,353
2023,133,7OT,1176,279
2023,133,7OT,1177,212
2023,133,7OT,1178,184
2023,133,7OT,1179,26
2023,133,7OT,1180,204
2023,133,7OT,1181,21
2023,133,7OT,1182,63
2023,133,7OT,1183,346
2023,133,7OT,1184,121
2023,133,7OT,1185,344
2023,133,7OT,1186,175
2023,133,7OT,1187,214
2023,133,7OT,1188,210
2023,133,7OT,1189,321
2023,133,7OT,1190,216
2023,133,7OT,1191,342
2023,133,7OT,1192,296
2023,133,7OT,1193,239
2023,133,7OT,1194,29
2023,133,7OT,1195,215
2023,133,7OT,1196,108
2023,133,7OT,1197,359
2023,133,7OT,1198,185
2023,133,7OT,1199,225
2023,133,7OT,1200,129
2023,133,7OT,1201,248
2023,133,7OT,1202,56
2023,133,7OT,1203,189
2023,133,7OT,1204,176
2023,133,7OT,1205,208
2023,133,7OT,1206,113
2023,133,7OT,1207,276
2023,133,7OT,1208,177
2023,133,7OT,1209,259
2023,133,7OT,1210,235
2023,133,7OT,1211,5
2023,133,7OT,1212,168
2023,133,7OT,1213,122
2023,133,7OT,1214,337
2023,133,7OT,1216,357
2023,133,7OT,1217,182
2023,133,7OT,1218,117
2023,133,7OT,1219,274
2023,133,7OT,1220,57
2023,133,7OT,1221,301
2023,133,7OT,1222,1
2023,133,7OT,1223,351
2023,133,7OT,1224,251
2023,133,7OT,1225,349
2023,133,7OT,1226,307
2023,133,7OT,1227,234
2023,133,7OT,1228,109
2023,133,7OT,1229,315
2023,133,7OT,1230,328
2023,133,7OT,1231,42
2023,133,7OT,1232,78
2023,133,7OT,1233,36
2023,133,7OT,1234,104
2023,133,7OT,1235,44
2023,133,7OT,1236,200
2023,133,7OT,1237,356
2023,133,7OT,1238,340
2023,133,7OT,1239,205
2023,133,7OT,1240,231
2023,133,7OT,1241,120
2023,133,7OT,1242,13
2023,133,7OT,1243,50
2023,133,7OT,1244,87
2023,133,7OT,1245,34
2023,133,7OT,1246,38
2023,133,7OT,1247,229
2023,133,7OT,1248,241
2023,133,7OT,1249,361
2023,133,7OT,1250,246
2023,133,7OT,1251,32
2023,133,7OT,1252,199
2023,133,7OT,1253,115
2023,133,7OT,1254,362
2023,133,7OT,1255,162
2023,133,7OT,1256,192
2023,133,7OT,1257,303
2023,133,7OT,1258,114
2023,133,7OT,1259,309
2023,133,7OT,1260,253
2023,133,7OT,1261,146
2023,133,7OT,1262,111
2023,133,7OT,1263,284
2023,133,7OT,1264,293
2023,133,7OT,1265,233
2023,133,7OT,1266,24
2023,133,7OT,1267,28
2023,133,7OT,1268,48
2023,133,7OT,1269,183
2023,133,7OT,1270,306
2023,133,7OT,1271,254
2023,133,7OT,1272,7
2023,133,7OT,1273,206
2023,133,7OT,1274,25
2023,133,7OT,1275,278
2023,133,7OT,1276,80
2023,133,7OT,1277,45
2023,133,7OT,1278,294
2023,133,7OT,1279,142
2023,133,7OT,1280,82
2023,133,7OT,1281,67
2023,133,7OT,1282,319
2023,133,7OT,1283,89
2023,133,7OT,1284,335
2023,133,7OT,1285,153
2023,133,7OT,1286,75
2023,133,7OT,1287,130
2023,133,7OT,1288,308
2023,133,7OT,1290,358
2023,133,7OT,1291,203
2023,133,7OT,1292,94
2023,133,7OT,1293,186
2023,133,7OT,1294,260
2023,133,7OT,1295,194
2023,133,7OT,1296,262
2023,133,7OT,1297,100
2023,133,7OT,1298,155
2023,133,7OT,1299,326
2023,133,7OT,1300,159
2023,133,7OT,1301,40
2023,133,7OT,1303,298
2023,133,7OT,1304,149
2023,133,7OT,1305,79
2023,133,7OT,1306,236
2023,133,7OT,1307,39
2023,133,7OT,1308,245
2023,133,7OT,1309,311
2023,133,7OT,1310,219
2023,133,7OT,1311,287
2023,133,7OT,1312,290
2023,133,7OT,1313,221
